# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
0041C4C0 [d3d5-superseded] bits_fill_rect_32bpp
0041C930 [d3d5-superseded] bits_fill_rect_16bpp
0041CE60 [d3d5-superseded] bits_fill_rect_default
0041CEF0 [d3d5-superseded] bits_fill_rect_dispatch
0041F370 [d3d5-superseded] GetSoundBufferStatus
0041F7B0 [d3d5-superseded] ddraw_surface_create_thunk
0041F7D0 [d3d5-superseded] d3dsurface_create_texture
0041F850 [d3d5-superseded] d3dsurface_load_texture
00427F20 [d3d5-superseded] bits_sprite_blit_8bpp_clut
00428320 [d3d5-superseded] bits_sprite_blit_16bpp_clut
004287C0 [d3d5-superseded] bits_sprite_blit_fast_copy
00428960 [d3d5-superseded] bits_sprite_blit_colorpath
00428BF0 [d3d5-superseded] bits_sprite_blit_dispatch
0042A640 [d3d5-superseded] ot_draw_primitive_dispatch
0042A790 [d3d5-superseded] ot_draw_primitive_textured
0042B2A0 [d3d5-superseded] d3d_transalpha_polygon
0042BD70 [d3d5-superseded] ot_draw_primitive_type2
0042CBB0 [d3d5-superseded] d3d_transalpha_rect
0042D2D0 [d3d5-superseded] bits_gouraud_span_rasterize
0042D9A0 [d3d5-superseded] bits_gouraud_triangle
00432530 [d3d5-superseded] ddraw_bltfast_wrapper
00432560 [d3d5-superseded] ddrawsurface_scaled_blt
00432B90 [d3d5-superseded] ddrawsurface_method_2b90
00432D10 [d3d5-superseded] ddrawsurface_release_textures
00432D50 [d3d5-superseded] ddrawsurface_lock_helper
00432F70 [d3d5-superseded] ddrawsurface_unlock_upload_palette
00433080 [d3d5-superseded] ddraw_create_secondary_surface
004330E0 [d3d5-superseded] ddrawsurface_create_with_palette
00440340 [d3d5-superseded] gte_table_alloc
00440380 [d3d5-superseded] gte_table_free
00440390 [d3d5-superseded] gte_table_clear
00440B40 [d3d5-superseded] gte_table_release
00448810 [d3d5-superseded] d3d_search_match_texture_format
00448C50 [d3d5-superseded] d3d_restore_lost_surfaces
00448D60 [d3d5-superseded] d3d_wm_displaychange_handler
00449220 [d3d5-superseded] d3d_teardown_all_surfaces
004493B0 [d3d5-superseded] d3d_change_video_resolution
00449580 [d3d5-superseded] d3d_upload_texture_by_caps
00449972 [d3d5-superseded] d3d_reload_dtor_thunk
00449980 [d3d5-superseded] d3d_try_fallback_texture_formats
004499D0 [d3d5-superseded] d3d_reload_all_textures
00449A40 [d3d5-superseded] d3d_reload_texture_entry
0044A0A4 [d3d5-superseded] d3d_setd3drenderer_seh_cleanup
0044A0B1 [d3d5-superseded] d3d_setd3drenderer_frame_handler
0044A0BB [d3d5-superseded] d3d_reload_frame_handler_a
0044A120 [d3d5-superseded] d3d_select_renderer_mode
0044A14D [d3d5-superseded] d3d_reload_dtor_tail
0044B0EB [d3d5-superseded] d3d_objhandle_dtor_tail
0044B1A8 [d3d5-superseded] d3d_objhandle_frame_handler
0044B2FD [d3d5-superseded] d3d_texhandle_frame_handler
0044B307 [d3d5-superseded] d3d_texhandle_dtor_body
0044B4F0 [d3d5-superseded] d3d_do_render_ot_walk
0044B700 [d3d5-superseded] d3d_release_device_resources
0044BA7C [d3d5-superseded] d3d_ctor_bits_dtor_tail
0044BA8A [d3d5-superseded] d3d_ctor_viewport_dtor_tail
0044BA98 [d3d5-superseded] d3d_ctor_viewport_dtor_tail_b
0044BAA6 [d3d5-superseded] d3d_ctor_viewport_dtor_tail_c
0044BAC2 [d3d5-superseded] d3d_ctor_gte_table_cleanup
0044BAD0 [d3d5-superseded] d3d_ctor_frame_handler
0044C780 [d3d5-superseded] d3d_texhandle_frame_handler_b
0044C7B0 [d3d5-superseded] d3d_texcreate_frame_handler_c
0044C8A0 [d3d5-superseded] d3d_texture_reload_helper
0044CE63 [d3d5-superseded] d3d_player_scd_bits_dtor_tail
0044CE81 [d3d5-superseded] d3d_player_scd_frame_handler
0044CEC0 [d3d5-superseded] d3d_cache_window_rect
00462EA0 [d3d5-superseded] wave_open_header
00462FF0 [d3d5-superseded] wave_seek_data_chunk
00463050 [d3d5-superseded] wave_read_data
00471060 [d3d5-superseded] d3d_adjust_window_rect
00471150 [d3d5-superseded] d3d_calc_pixel_format_masks
00471350 [d3d5-superseded] d3d_enum_mode_callback
004713B0 [d3d5-superseded] d3d_enum_display_modes
00471420 [d3d5-superseded] d3d_get_surface_desc
00471450 [d3d5-superseded] d3d_enum_helpers_1450
00471500 [d3d5-superseded] d3d_enum_helpers_1500
004715D0 [d3d5-superseded] ddraw_set_coop_level
00471660 [d3d5-superseded] ddraw_create_buffers
0047E780 [d3d5-superseded] bits_gradient_line_rasterize
0048CDE0 [d3d5-superseded] d3d_vtable_create_helper
0048CE00 [d3d5-superseded] d3d_enum_texture_formats_cb
0048CF00 [d3d5-superseded] d3d_bpp_to_format_flags
0048CFA0 [d3d5-superseded] print_d3d_error
0048D320 [d3d5-superseded] md3d_create_enum_texture_formats
0048D520 [d3d5-superseded] md3d_create_device_zbuffer
0048D820 [d3d5-superseded] md3d_detect_drivers
0048D8E0 [d3d5-superseded] md3d_create_direct3d
00490030 [d3d5-superseded] bits_triangle_16bpp
00490A50 [d3d5-superseded] bits_triangle_8bpp_clut
00491650 [d3d5-superseded] bits_triangle_colorpath
00491CF0 [d3d5-superseded] bits_triangle_dispatch
00496F30 [d3d5-superseded] gte_table_arr_static_init
00496F40 [d3d5-superseded] gte_table_arr_construct
00496F50 [d3d5-superseded] gte_table_arr_register_cleanup
00496F60 [d3d5-superseded] gte_table_arr_cleanup
00442190 [software-fmv-superseded] LaunchSoftwareVideoPlayer
00442290 [software-fmv-superseded] CopyStringToSharedMemory
00442370 [software-fmv-superseded] IsVideoPlayerReady
00442390 [software-fmv-superseded] ClearVideoPlaybackFlag
004423D0 [software-fmv-superseded] CopyVolumeToSharedMemory
004424E0 [software-fmv-superseded] CacheWaveOutVolumeAndMute
00474B50 [software-fmv-superseded] video_mci_stop
00474B90 [software-fmv-superseded] video_mci_open_window
00474C50 [software-fmv-superseded] UpdateVideoWindow
00474CD0 [software-fmv-superseded] video_mci_seek_begin
00474D10 [software-fmv-superseded] video_mci_window_helper
0049B610 [crt-out-of-scope] __fpmath
0049B640 [crt-out-of-scope] FUN_0049b640
0049B650 [crt-out-of-scope] __cfltcvt_init
0049B6A0 [crt-out-of-scope] _JumpToContinuation
0049B6E0 [crt-out-of-scope] _CallMemberFunction0
0049B6F0 [crt-out-of-scope] FID_conflict:_CallMemberFunction1
0049B700 [crt-out-of-scope] FID_conflict:_CallMemberFunction1
0049B710 [crt-out-of-scope] _UnwindNestedFrames
